ind,PDB_chain,LIG,ro_label,lo_label,pVina,conf_id,conf_rank
4,7S84_A,8FI,1,1,6.839794249999999,2,4
4,7S84_A,8FI,1,1,6.74150659,2,5
4,7S84_A,8FI,1,1,6.66082269,2,6
4,7S84_A,8FI,1,1,6.654221279999999,2,7
4,7S84_A,8FI,1,1,6.5918746299999995,2,8
4,7S84_A,8FI,1,1,6.55666711,2,9
4,7S84_A,8FI,1,1,6.757643369999999,3,1
4,7S84_A,8FI,1,1,6.69749719,3,2
4,7S84_A,8FI,1,1,6.63955148,3,3
4,7S84_A,8FI,1,1,6.557400599999999,3,4
4,7S84_A,8FI,1,1,6.50018838,3,5
4,7S84_A,8FI,1,1,6.47818368,3,6
4,7S84_A,8FI,1,1,6.45104455,3,7
4,7S84_A,8FI,1,1,6.42977334,3,8
4,7S84_A,8FI,1,1,6.34982293,3,9
5,7S85_A,8FI,1,1,8.15787578,1,1
5,7S85_A,8FI,1,1,7.852743939999999,1,2
5,7S85_A,8FI,1,1,7.66203654,1,3
5,7S85_A,8FI,1,1,7.25201563,1,4
5,7S85_A,8FI,1,1,6.8053202200000005,1,5
5,7S85_A,8FI,1,1,6.673292020000001,1,6
5,7S85_A,8FI,1,1,6.67109155,1,7
5,7S85_A,8FI,1,1,6.41657052,1,8
5,7S85_A,8FI,1,1,6.35128991,1,9
5,7S85_A,8FI,1,1,8.130736650000001,2,1
5,7S85_A,8FI,1,1,7.648833720000001,2,2
5,7S85_A,8FI,1,1,7.1955369000000005,2,3
5,7S85_A,8FI,1,1,6.8214570000000005,2,4
5,7S85_A,8FI,1,1,6.7847824999999995,2,5
5,7S85_A,8FI,1,1,6.70043115,2,6
5,7S85_A,8FI,1,1,6.670358059999999,2,7
5,7S85_A,8FI,1,1,6.64175195,2,8
5,7S85_A,8FI,1,1,6.486985559999999,2,9
5,7S85_A,8FI,1,1,8.0830598,3,1
5,7S85_A,8FI,1,1,7.86741374,3,2
5,7S85_A,8FI,1,1,7.74125346,3,3
5,7S85_A,8FI,1,1,7.237345830000001,3,4
5,7S85_A,8FI,1,1,7.21534113,3,5
5,7S85_A,8FI,1,1,7.02169977,3,6
5,7S85_A,8FI,1,1,6.736372159999999,3,7
5,7S85_A,8FI,1,1,6.7187684,3,8
5,7S85_A,8FI,1,1,6.70189813,3,9
6,7S4T_A,8FI,1,1,8.044918319999999,1,1
6,7S4T_A,8FI,1,1,7.88208354,1,2
6,7S4T_A,8FI,1,1,6.687228330000001,1,3
6,7S4T_A,8FI,1,1,6.433440790000001,1,4
6,7S4T_A,8FI,1,1,6.36082528,1,5
6,7S4T_A,8FI,1,1,6.33515313,1,6
6,7S4T_A,8FI,1,1,6.238332450000001,1,7
6,7S4T_A,8FI,1,1,6.21192681,1,8
6,7S4T_A,8FI,1,1,6.08356606,1,9
6,7S4T_A,8FI,1,1,8.17914699,2,1
