,protein_path,ligand,PDB_fn,PDB,PDB_chain,LIG,PDB_chain_LIG,ro_label,lo_label
181,docking_poses/receptor/CDK2_fastH_pdbqt/7ACK_C_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,7ACK_C_01,7ACK,7ACK_C,88O,7ACK_C_88O,2,1
182,docking_poses/receptor/CDK2_fastH_pdbqt/3BHT_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,3BHT_A_01,3BHT,3BHT_A,88O,3BHT_A_88O,2,1
183,docking_poses/receptor/CDK2_fastH_pdbqt/2C5V_C_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,2C5V_C_01,2C5V,2C5V_C,88O,2C5V_C_88O,2,1
184,docking_poses/receptor/CDK2_fastH_pdbqt/4BCM_C_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,4BCM_C_01,4BCM,4BCM_C,88O,4BCM_C_88O,2,1
185,docking_poses/receptor/CDK2_fastH_pdbqt/7KJS_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,7KJS_A_01,7KJS,7KJS_A,88O,7KJS_A_88O,2,1
186,docking_poses/receptor/CDK2_fastH_pdbqt/3BHU_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,3BHU_A_01,3BHU,3BHU_A,88O,3BHU_A_88O,2,1
187,docking_poses/receptor/CDK2_fastH_pdbqt/4CFW_C_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,4CFW_C_01,4CFW,4CFW_C,88O,4CFW_C_88O,2,1
188,docking_poses/receptor/CDK2_fastH_pdbqt/1B38_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,1B38_A_01,1B38,1B38_A,88O,1B38_A_88O,1,1
189,docking_poses/receptor/CDK2_fastH_pdbqt/4FKG_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,4FKG_A_01,4FKG,4FKG_A,88O,4FKG_A_88O,1,1
190,docking_poses/receptor/CDK2_fastH_pdbqt/2R3R_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,2R3R_A_01,2R3R,2R3R_A,88O,2R3R_A_88O,1,1
191,docking_poses/receptor/CDK2_fastH_pdbqt/1GIH_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,1GIH_A_01,1GIH,1GIH_A,88O,1GIH_A_88O,1,1
192,docking_poses/receptor/CDK2_fastH_pdbqt/2BHE_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,2BHE_A_01,2BHE,2BHE_A,88O,2BHE_A_88O,1,1
193,docking_poses/receptor/CDK2_fastH_pdbqt/4FKI_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,4FKI_A_01,4FKI,4FKI_A,88O,4FKI_A_88O,1,1
194,docking_poses/receptor/CDK2_fastH_pdbqt/1GIJ_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,1GIJ_A_01,1GIJ,1GIJ_A,88O,1GIJ_A_88O,1,1
195,docking_poses/receptor/CDK2_fastH_pdbqt/2VTR_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3cc(Cl)ccc23)[N+]([O-])=O,2VTR_A_01,2VTR,2VTR_A,88O,2VTR_A_88O,1,1
196,docking_poses/receptor/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7S7A_A_01,7S7A,7S7A_A,ATP,7S7A_A_ATP,1,0
